,category,city,geo,job_title,job_type,salary_offered,state,STATE_NAME
2366,Management and Commerce,Brisbane,AU,Customer Service Officer,Full Time,67981.82723756906,QLD,Queensland
2367,Health,Brisbane,AU,Senior Workplace Rehab Consultant DARWIN,Full Time,99058.5219250646,QLD,Queensland
2368,Management and Commerce,Sydney,AU,10 x Sales Consultants ---> Home Interior Powerhouse! ---> Western Sydney,Full Time,65000.0,NSW,New South Wales
2369,Food and Hospitality,Sydney,AU,IT Service Support Desk Assistant,Full Time,55511.77795302014,NSW,New South Wales
2370,Health,Sydney,AU,Care Service Manager,Full Time,99058.5219250646,NSW,New South Wales
2371,Management and Commerce,Melbourne,AU,Tax Manager,Full Time,94007.92065263158,VIC,Victoria
2372,Management and Commerce,Sydney,AU,Business Services Senior Accountant,Full Time,94007.92065263158,NSW,New South Wales
2373,Management and Commerce,Hervey Bay & Fraser Coast,AU,Cabinet Makers Trade Qualified,Full Time,65715.15306289308,QLD,Queensland
2374,Management and Commerce,ACT,AU,Online Duty Manager - Coles Tuggeranong,Full Time,56431.63970588236,ACT,Australian Capital Territory
2375,Education,ACT,AU,Diploma Trained Educator - Canberra City,Full Time,52500.0,ACT,Australian Capital Territory
2376,Food and Hospitality,Mornington Peninsula & Bass Coast,AU,Restaurant Manager,Full Time,57499.5,VIC,Victoria
2377,Architecture and Building,Brisbane,AU,State Manager - QLD,Full Time,115952.28711484595,QLD,Queensland
2378,Architecture and Building,Melbourne,AU,Project Architect,Full Time,83284.43922619047,VIC,Victoria
2379,Information Technology,Sydney,AU,Senior Salesforce Consultant/Developer,Full Time,108194.06286549706,NSW,New South Wales
2380,Engineering,Adelaide,AU,Principal Electrical Engineer,Full Time,112324.60987096776,SA,South Australia
2381,Information Technology,Melbourne,AU,Solution Architect - Part Time,Full Time,108194.06286549706,VIC,Victoria
2382,Management and Commerce,Sydney,AU,"Junior Underwriter, Commercial Lines",Full Time,97240.890625,NSW,New South Wales
2383,Management and Commerce,Brisbane,AU,Hydraulic Hose Assembler/Storeperson - Brisbane,Full Time,160947.12263099218,QLD,Queensland
2384,Management and Commerce,Sydney,AU,Team Leader Customer Services,Full Time,96056.27447887324,NSW,New South Wales
2385,Management and Commerce,"Wollongong, Illawarra & South Coast",AU,MR & HC Drivers,Full Time,160947.12263099218,NSW,New South Wales
2386,Management and Commerce,Sydney,AU,Case Management Specialist - Industrial Deafness,Full Time,97240.890625,NSW,New South Wales
2387,Management and Commerce,Adelaide,AU,Fashion wholesale brand manager,Full Time,93566.96469366565,SA,South Australia
2388,Health,Northam & Wheatbelt,AU,Senior Environmental Health Officer,Full Time,96056.27447887324,WA,Western Australia
2389,Management and Commerce,Sydney,AU,Assistant Accountant,Full Time,114400.0,NSW,New South Wales
2390,Creative Arts,Sydney,AU,Account Director,Full Time,76219.28846153848,NSW,New South Wales
2391,Management and Commerce,Sydney,AU,SPRAY PAINTER ,Full Time,65715.15306289308,NSW,New South Wales
2392,Engineering,"Bendigo, Goldfields & Macedon Ranges",AU,Driller's Offsiders Bendigo,Full Time,65520.0,VIC,Victoria
2393,Health,Dubbo & Central NSW,AU,Care Manager,Full Time,99058.5219250646,NSW,New South Wales
2394,Management and Commerce,Sydney,AU,Key Account Manager ,Full Time,93566.96469366565,NSW,New South Wales
2395,Management and Commerce,Brisbane,AU,Senior Finance Leadership - Projects,Full Time,85600.0,QLD,Queensland
2396,Information Technology,Melbourne,AU,CRM Functional Officer,Full Time,108194.06286549706,VIC,Victoria
2397,Management and Commerce,Sydney,AU,Bilingual Sales Representative - English / Mandarin,Full Time,93566.96469366565,NSW,New South Wales
2398,Information Technology,Sydney,AU,IT Help desk Specialist,Full Time,108194.06286549706,NSW,New South Wales
2399,Management and Commerce,Brisbane,AU,PRINTER,Full Time,65715.15306289308,QLD,Queensland
2400,Management and Commerce,Perth,AU,Head of finance,Full Time,94007.92065263158,WA,Western Australia
2401,Information Technology,Melbourne,AU,Kafka Developer,Full Time,108194.06286549706,VIC,Victoria
2402,Management and Commerce,Perth,AU,Tyre Fitter - Drive In Drive Out,Full Time,65715.15306289308,WA,Western Australia
2403,Health,Melbourne,AU,"Senior Policy Officer, Family Violence Policy and Programs Unit",Full Time,99058.5219250646,VIC,Victoria
