Percentile,Job Type,wage
90% Percentile,Part time,1244
80% Percentile,Part time,969
75% Percentile,Part time,880
70% Percentile,Part time,808
60% Percentile,Part time,694
50% Percentile,Part time,577
40% Percentile,Part time,474
30% Percentile,Part time,369
25% Percentile,Part time,314
20% Percentile,Part time,255
10% Percentile,Part time,138
